last_update_to_file_at,repo_name,repo_owner,repo_branch,raw_file_url,repo_html_url,repo_is_fork,parent_html_url,repo_created_at,repo_updated_at,repo_last_commit_at,repo_is_archived,repo_issues_enabled,stars_count,forks_count,watchers_count,last_check_at
"2022-01-21T18:43:59Z","list","moose84","master","https://raw.githubusercontent.com/moose84/list/master/listaPI.txt","https://github.com/moose84/list","false","null","2020-07-24T12:37:33Z","2023-12-09T04:49:11Z","2022-01-21T18:43:59Z","false","true","1","1","1","2025-04-16T06:30:15Z"
"2021-12-10T08:43:46Z","easylist","shane-walker","master","https://raw.githubusercontent.com/shane-walker/easylist/master/easylist_adult/adult_specific_block.txt","https://github.com/shane-walker/easylist","true","https://github.com/easylist/easylist","2021-12-10T20:35:17Z","2021-12-10T20:35:18Z","2021-12-10T20:50:31Z","false","false","0","0","0","2025-04-16T06:30:11Z"
"2021-11-28T06:41:29Z","host-sources","brijrajparmar27","master","https://raw.githubusercontent.com/brijrajparmar27/host-sources/master/Porn/hosts","https://github.com/brijrajparmar27/host-sources","false","null","2021-08-30T16:43:16Z","2023-12-09T04:32:37Z","2021-11-28T06:41:29Z","false","true","2","0","0","2025-04-16T06:30:12Z"
"2021-11-03T10:27:48Z","adult-hosts-list","emiliodallatorre","main","https://raw.githubusercontent.com/emiliodallatorre/adult-hosts-list/main/list.txt","https://github.com/emiliodallatorre/adult-hosts-list","false","null","2021-11-03T10:12:47Z","2025-03-20T20:57:35Z","2021-11-03T11:05:28Z","false","true","13","4","2","2025-04-16T06:30:08Z"
"2021-10-04T21:15:21Z","MyPiHoleLists","edmond-nader","main","https://raw.githubusercontent.com/edmond-nader/MyPiHoleLists/main/PiPornList.txt","https://github.com/edmond-nader/MyPiHoleLists","false","null","2021-10-04T21:11:49Z","2023-12-09T04:32:07Z","2021-10-04T21:15:22Z","false","true","1","0","1","2025-04-16T06:30:17Z"
"2021-09-23T12:02:56Z","pihole-blocklists","go2engineering","main","https://raw.githubusercontent.com/go2engineering/pihole-blocklists/main/pihole_blocklist_adult.list","https://github.com/go2engineering/pihole-blocklists","false","null","2021-09-23T11:55:16Z","2023-12-09T03:52:18Z","2021-09-23T12:02:56Z","false","true","1","0","1","2025-04-16T06:30:10Z"
"2021-03-17T07:25:08Z","potential-octo-parakeet","pq6p41fgt6k","master","https://raw.githubusercontent.com/pq6p41fgt6k/potential-octo-parakeet/master/porn.txt","https://github.com/pq6p41fgt6k/potential-octo-parakeet","false","null","2021-03-23T16:00:52Z","2023-12-09T04:48:22Z","2021-03-23T16:03:13Z","false","false","1","0","1","2025-04-16T06:30:08Z"
"2021-03-14T03:26:46Z","adguardhome-blocklist","nizekun","main","https://raw.githubusercontent.com/nizekun/adguardhome-blocklist/main/alexsannikov-pornlist.txt","https://github.com/nizekun/adguardhome-blocklist","false","null","2021-02-12T09:34:13Z","2023-12-09T03:48:12Z","2022-08-13T15:28:19Z","false","true","1","0","1","2025-04-16T06:30:08Z"
"2021-02-12T10:35:06Z","adguardhome-blocklist","nizekun","main","https://raw.githubusercontent.com/nizekun/adguardhome-blocklist/main/chadmayfieldporn_all3.txt","https://github.com/nizekun/adguardhome-blocklist","false","null","2021-02-12T09:34:13Z","2023-12-09T03:48:12Z","2022-08-13T15:28:19Z","false","true","1","0","1","2025-04-16T06:30:11Z"
"2021-02-12T10:34:27Z","adguardhome-blocklist","nizekun","main","https://raw.githubusercontent.com/nizekun/adguardhome-blocklist/main/chadmayfieldporn_all2.txt","https://github.com/nizekun/adguardhome-blocklist","false","null","2021-02-12T09:34:13Z","2023-12-09T03:48:12Z","2022-08-13T15:28:19Z","false","true","1","0","1","2025-04-16T06:30:10Z"
"2021-02-12T10:33:40Z","adguardhome-blocklist","nizekun","main","https://raw.githubusercontent.com/nizekun/adguardhome-blocklist/main/chadmayfieldporn_all1.txt","https://github.com/nizekun/adguardhome-blocklist","false","null","2021-02-12T09:34:13Z","2023-12-09T03:48:12Z","2022-08-13T15:28:19Z","false","true","1","0","1","2025-04-16T06:30:09Z"
"2021-02-12T10:08:27Z","adguardhome-blocklist","nizekun","main","https://raw.githubusercontent.com/nizekun/adguardhome-blocklist/main/mhhakimpornlist.txt","https://github.com/nizekun/adguardhome-blocklist","false","null","2021-02-12T09:34:13Z","2023-12-09T03:48:12Z","2022-08-13T15:28:19Z","false","true","1","0","1","2025-04-16T06:30:13Z"
"2021-02-12T10:03:11Z","adguardhome-blocklist","nizekun","main","https://raw.githubusercontent.com/nizekun/adguardhome-blocklist/main/chadmayfieldtop1mlist.txt","https://github.com/nizekun/adguardhome-blocklist","false","null","2021-02-12T09:34:13Z","2023-12-09T03:48:12Z","2022-08-13T15:28:19Z","false","true","1","0","1","2025-04-16T06:30:12Z"
"2020-12-06T22:50:18Z","hosts","tiuxo","master","https://raw.githubusercontent.com/tiuxo/hosts/master/porn","https://github.com/tiuxo/hosts","false","null","2019-04-25T04:06:03Z","2025-03-31T14:07:25Z","2024-04-13T18:12:26Z","false","true","32","11","4","2025-04-16T06:30:14Z"
"2020-04-22T18:19:10Z","block","rampageX","master","https://raw.githubusercontent.com/rampageX/block/master/assets/sources/filter/clefspeare-pornhosts.txt","https://github.com/rampageX/block","true","https://github.com/EnergizedProtection/block","2020-04-12T03:46:16Z","2025-03-08T11:32:57Z","2020-04-22T20:18:33Z","false","false","5","0","1","2025-04-16T06:30:09Z"
"2019-12-15T09:01:00Z","pornhosts","funilrys","master","https://raw.githubusercontent.com/funilrys/pornhosts/master/submit_here/hosts.txt","https://github.com/funilrys/pornhosts","false","null","2019-12-15T13:16:26Z","2023-10-28T02:29:39Z","2020-06-11T20:29:50Z","false","false","2","2","1","2025-04-16T06:30:09Z"
"2018-03-22T13:11:11Z","nsfw","d4interactive","master","https://raw.githubusercontent.com/d4interactive/nsfw/master/nsfw/data/porn_sites_list.txt","https://github.com/d4interactive/nsfw","false","null","2018-02-22T13:21:15Z","2023-07-19T05:34:17Z","2023-07-19T05:52:38Z","false","true","0","3","4","2025-04-16T06:30:15Z"
